Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
21,'076,Brazil,27,'0113,Rice,5412,Yield,2003,2003,kg/ha,3249.0,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2004,2004,kg/ha,3556.5,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2005,2005,kg/ha,3369.1,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2006,2006,kg/ha,3879.8,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2007,2007,kg/ha,3826.0,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2008,2008,kg/ha,4231.1,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2009,2009,kg/ha,4404.9,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2010,2010,kg/ha,4127.1,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2011,2011,kg/ha,4895.6,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2012,2012,kg/ha,4786.0,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2013,2013,kg/ha,5007.1,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2014,2014,kg/ha,5201.3,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2015,2015,kg/ha,5752.5,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2016,2016,kg/ha,5464.3,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2017,2017,kg/ha,6213.1,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2018,2018,kg/ha,6307.4,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2019,2019,kg/ha,6063.3,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2020,2020,kg/ha,6610.8,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2021,2021,kg/ha,6903.1,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2022,2022,kg/ha,6638.4,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2023,2023,kg/ha,6936.9,A,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2024,2024,kg/ha,6728.1,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2003,2003,kg/ha,3067.1,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2004,2004,kg/ha,3285.3,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2005,2005,kg/ha,2903.7,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2006,2006,kg/ha,3223.9,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2007,2007,kg/ha,3650.7,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2008,2008,kg/ha,3742.8,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2009,2009,kg/ha,3567.4,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2010,2010,kg/ha,3553.7,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2011,2011,kg/ha,3608.7,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2012,2012,kg/ha,3595.8,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2013,2013,kg/ha,3620.9,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2014,2014,kg/ha,3751.3,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2015,2015,kg/ha,3879.6,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2016,2016,kg/ha,3477.4,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2017,2017,kg/ha,4141.1,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2018,2018,kg/ha,4309.6,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2019,2019,kg/ha,4236.4,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2020,2020,kg/ha,4329.3,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2021,2021,kg/ha,4170.9,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2022,2022,kg/ha,3840.1,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2023,2023,kg/ha,4385.5,A,
21,'076,Brazil,328,'01921.01,"Seed cotton, unginned",5412,Yield,2024,2024,kg/ha,4282.5,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2003,2003,kg/ha,2403.5,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2004,2004,kg/ha,2072.8,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2005,2005,kg/ha,1973.5,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2006,2006,kg/ha,1592.7,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2007,2007,kg/ha,2219.9,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2008,2008,kg/ha,2549.7,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2009,2009,kg/ha,2080.2,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2010,2010,kg/ha,2828.8,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2011,2011,kg/ha,2660.2,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2012,2012,kg/ha,2310.0,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2013,2013,kg/ha,2749.1,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2014,2014,kg/ha,2208.8,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2015,2015,kg/ha,2227.8,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2016,2016,kg/ha,3155.1,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2017,2017,kg/ha,2279.0,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2018,2018,kg/ha,2629.2,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2019,2019,kg/ha,2657.8,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2020,2020,kg/ha,2607.9,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2021,2021,kg/ha,2862.1,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2022,2022,kg/ha,3265.8,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2023,2023,kg/ha,2321.2,A,
21,'076,Brazil,15,'0111,Wheat,5412,Yield,2024,2024,kg/ha,2612.7,A,
100,'356,India,27,'0113,Rice,5412,Yield,2003,2003,kg/ha,3092.6,A,
100,'356,India,27,'0113,Rice,5412,Yield,2004,2004,kg/ha,2952.7,A,
100,'356,India,27,'0113,Rice,5412,Yield,2005,2005,kg/ha,3119.6,A,
100,'356,India,27,'0113,Rice,5412,Yield,2006,2006,kg/ha,3199.5,A,
100,'356,India,27,'0113,Rice,5412,Yield,2007,2007,kg/ha,3292.5,A,
100,'356,India,27,'0113,Rice,5412,Yield,2008,2008,kg/ha,3279.7,A,
100,'356,India,27,'0113,Rice,5412,Yield,2009,2009,kg/ha,3194.1,A,
100,'356,India,27,'0113,Rice,5412,Yield,2010,2010,kg/ha,3323.0,A,
100,'356,India,27,'0113,Rice,5412,Yield,2011,2011,kg/ha,3606.0,A,
100,'356,India,27,'0113,Rice,5412,Yield,2012,2012,kg/ha,3677.4,A,
100,'356,India,27,'0113,Rice,5412,Yield,2013,2013,kg/ha,3616.5,A,
100,'356,India,27,'0113,Rice,5412,Yield,2014,2014,kg/ha,3590.0,A,
100,'356,India,27,'0113,Rice,5412,Yield,2015,2015,kg/ha,3601.8,A,
100,'356,India,27,'0113,Rice,5412,Yield,2016,2016,kg/ha,3752.6,A,
100,'356,India,27,'0113,Rice,5412,Yield,2017,2017,kg/ha,3811.7,A,
100,'356,India,27,'0113,Rice,5412,Yield,2018,2018,kg/ha,3976.1,A,
100,'356,India,27,'0113,Rice,5412,Yield,2019,2019,kg/ha,4052.1,A,
100,'356,India,27,'0113,Rice,5412,Yield,2020,2020,kg/ha,4059.4,A,
100,'356,India,27,'0113,Rice,5412,Yield,2021,2021,kg/ha,4203.3,A,
100,'356,India,27,'0113,Rice,5412,Yield,2022,2022,kg/ha,4238.8,A,
100,'356,India,27,'0113,Rice,5412,Yield,2023,2023,kg/ha,4313.5,A,
100,'356,India,27,'0113,Rice,5412,Yield,2024,2024,kg/ha,4313.2,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2003,2003,kg/ha,960.0,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2004,2004,kg/ha,993.3,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2005,2005,kg/ha,1132.6,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2006,2006,kg/ha,1315.1,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2007,2007,kg/ha,1461.3,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2008,2008,kg/ha,1257.6,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2009,2009,kg/ha,1237.7,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2010,2010,kg/ha,1594.0,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2011,2011,kg/ha,1574.8,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2012,2012,kg/ha,1517.4,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2013,2013,kg/ha,1617.9,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2014,2014,kg/ha,1413.1,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2015,2015,kg/ha,1343.1,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2016,2016,kg/ha,1598.2,A,
100,'356,India,328,'01921.01,"Seed cotton, unginned",5412,Yield,2017,2017,kg/ha,1401.9,A,
