Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note,TempAnomaly_C,CO2_ppm_mean,merra2_TOTEXTTAU
21,'076,Brazil,27,'0113,Rice,5412,Yield,2003,2003,kg/ha,3249.0,A,,0.6166666666666667,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2004,2004,kg/ha,3556.5,A,,0.5333333333333333,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2005,2005,kg/ha,3369.1,A,,0.6791666666666667,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2006,2006,kg/ha,3879.8,A,,0.64,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2007,2007,kg/ha,3826.0,A,,0.6649999999999999,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2008,2008,kg/ha,4231.1,A,,0.5433333333333333,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2009,2009,kg/ha,4404.9,A,,0.6566666666666666,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2010,2010,kg/ha,4127.1,A,,0.725,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2011,2011,kg/ha,4895.6,A,,0.61,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2012,2012,kg/ha,4786.0,A,,0.6458333333333334,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2013,2013,kg/ha,5007.1,A,,0.6766666666666666,,
21,'076,Brazil,27,'0113,Rice,5412,Yield,2014,2014,kg/ha,5201.3,A,,0.7491666666666666,,0.114157657449444
21,'076,Brazil,27,'0113,Rice,5412,Yield,2015,2015,kg/ha,5752.5,A,,0.8975,398.4673990589333,0.1211577989161014
21,'076,Brazil,27,'0113,Rice,5412,Yield,2016,2016,kg/ha,5464.3,A,,1.0125,401.61673783199166,0.1136398104329903
21,'076,Brazil,27,'0113,Rice,5412,Yield,2017,2017,kg/ha,6213.1,A,,0.9141666666666668,403.89858763665,0.116413814947009
21,'076,Brazil,27,'0113,Rice,5412,Yield,2018,2018,kg/ha,6307.4,A,,0.85,406.188272178925,0.1185880284756421
21,'076,Brazil,27,'0113,Rice,5412,Yield,2019,2019,kg/ha,6063.3,A,,0.9791666666666666,408.7287743181666,0.1213295230021079
21,'076,Brazil,27,'0113,Rice,5412,Yield,2020,2020,kg/ha,6610.8,A,,1.0075,411.25547557044166,0.1222023976345856
21,'076,Brazil,27,'0113,Rice,5412,Yield,2021,2021,kg/ha,6903.1,A,,0.8466666666666667,413.5957462786583,0.1217477805912494
21,'076,Brazil,27,'0113,Rice,5412,Yield,2022,2022,kg/ha,6638.4,A,,0.8908333333333333,415.9950840959,0.1193391730388005
21,'076,Brazil,27,'0113,Rice,5412,Yield,2023,2023,kg/ha,6936.9,A,,1.1708333333333334,,0.1238466358433166
