Year,Condition,Reward
2003,PPO (trained),-48.878902472579625
2003,Never irrigate,-269.84512303263574
2003,Always light,-240.79746607573136
2003,Always heavy,-249.34174995428208
2004,PPO (trained),-43.957946315122385
2004,Never irrigate,-268.68447554071815
2004,Always light,-240.80684107573137
2004,Always heavy,-249.34456245428208
2005,PPO (trained),-49.50381873975668
2005,Never irrigate,-270.3015495621213
2005,Always light,-240.79043482573135
2005,Always heavy,-249.33964057928208
2006,PPO (trained),-48.25194274279548
2006,Never irrigate,-270.01426206212136
2006,Always light,-240.79484107573137
2006,Always heavy,-249.34096245428208
2007,PPO (trained),-47.19730915757495
2007,Never irrigate,-270.1976370621213
2007,Always light,-240.79202857573136
2007,Always heavy,-249.34011870428208
2008,PPO (trained),-46.88968323892963
2008,Never irrigate,-269.33032303263576
2008,Always light,-240.80571607573137
2008,Always heavy,-249.34422495428208
2009,PPO (trained),-41.120064912895536
2009,Never irrigate,-270.1365120621212
2009,Always light,-240.79296607573136
2009,Always heavy,-249.34039995428208
2010,PPO (trained),-43.484749646381424
2010,Never irrigate,-270.63634869804116
2010,Always light,-240.78527857573135
2010,Always heavy,-249.33809370428207
2011,PPO (trained),-42.203053214604445
2011,Never irrigate,-269.7983230326358
2011,Always light,-240.79821607573135
2011,Always heavy,-249.34197495428208
2012,PPO (trained),-41.6573595277431
2012,Never irrigate,-270.0570495621213
2012,Always light,-240.79418482573135
2012,Always heavy,-249.34076557928208
2013,PPO (trained),-41.19995098211996
2013,Never irrigate,-270.2832120621213
2013,Always light,-240.79071607573135
2013,Always heavy,-249.33972495428208
2014,PPO (trained),-44.32442618210126
2014,Never irrigate,-270.81279557304117
2014,Always light,-240.78255982573137
2014,Always heavy,-249.33727807928207
2015,PPO (trained),-41.726741537227596
2015,Never irrigate,-284.5885351106925
2015,Always light,-240.76587232573135
2015,Always heavy,-249.33227182928206
2016,PPO (trained),-39.96558317054519
2016,Never irrigate,-287.367898675666
2016,Always light,-240.75293482573136
2016,Always heavy,-249.3283905792821
2017,PPO (trained),-39.67119723144973
2017,Never irrigate,-284.6974726106925
2017,Always light,-240.76399732573137
2017,Always heavy,-249.33170932928206
2018,PPO (trained),-46.7270978669149
2018,Never irrigate,-271.56035924509246
2018,Always light,-240.77121607573136
2018,Always heavy,-249.33387495428207
2019,PPO (trained),-38.82708606148047
2019,Never irrigate,-287.17027367566607
2019,Always light,-240.75668482573136
2019,Always heavy,-249.3295155792821
2020,PPO (trained),-39.23663684275192
2020,Never irrigate,-287.3382549256661
2020,Always light,-240.75349732573136
2020,Always heavy,-249.3285593292821
2021,PPO (trained),-45.76362539020806
2021,Never irrigate,-271.5347467450925
2021,Always light,-240.77159107573135
2021,Always heavy,-249.33398745428207
2022,PPO (trained),-45.61382755996173
2022,Never irrigate,-271.8650397036112
2022,Always light,-240.76662232573136
2022,Always heavy,-249.33249682928206
2023,PPO (trained),-35.43628523920239
2023,Never irrigate,-296.9776637802771
2023,Always light,-240.73512232573137
2023,Always heavy,-249.32304682928208
2024,PPO (trained),-33.45328753893756
2024,Never irrigate,-311.6787785611692
2024,Always light,-238.52553936071573
2024,Always heavy,-249.31916557928207
