Year,TempAnomaly_C,CO2_ppm_mean,merra2_TOTEXTTAU,CO2_ppm_mlo,CO2_source
2003,0.6166666666666667,375.98,,375.98,Mauna Loa (live_fetch)
2004,0.5333333333333333,377.7,,377.7,Mauna Loa (live_fetch)
2005,0.6791666666666667,379.98,,379.98,Mauna Loa (live_fetch)
2006,0.64,382.09,,382.09,Mauna Loa (live_fetch)
2007,0.6649999999999999,384.02,,384.02,Mauna Loa (live_fetch)
2008,0.5433333333333333,385.83,,385.83,Mauna Loa (live_fetch)
2009,0.6566666666666666,387.64,,387.64,Mauna Loa (live_fetch)
2010,0.725,390.1,,390.1,Mauna Loa (live_fetch)
2011,0.61,391.85,,391.85,Mauna Loa (live_fetch)
2012,0.6458333333333334,394.06,,394.06,Mauna Loa (live_fetch)
2013,0.6766666666666666,396.74,,396.74,Mauna Loa (live_fetch)
2014,0.7491666666666666,398.81,0.114157657449444,398.81,Mauna Loa (live_fetch)
2015,0.8975,398.4673990589333,0.1211577989161014,401.01,OCO-2 (satellite)
2016,1.0125,401.61673783199166,0.1136398104329903,404.41,OCO-2 (satellite)
2017,0.9141666666666668,403.89858763665,0.116413814947009,406.76,OCO-2 (satellite)
2018,0.85,406.188272178925,0.1185880284756421,408.72,OCO-2 (satellite)
2019,0.9791666666666666,408.7287743181666,0.1213295230021079,411.65,OCO-2 (satellite)
2020,1.0075,411.25547557044166,0.1222023976345856,414.21,OCO-2 (satellite)
2021,0.8466666666666667,413.5957462786583,0.1217477805912494,416.41,OCO-2 (satellite)
2022,0.8908333333333333,415.9950840959,0.1193391730388005,418.53,OCO-2 (satellite)
2023,1.1708333333333334,421.08,0.1238466358433166,421.08,Mauna Loa (live_fetch)
2024,1.2858333333333334,424.61,,424.61,Mauna Loa (live_fetch)
